07:48 PM 05-11-20172017-11-04 13:01:17,624 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: 10N
2017-11-05 23:33:14,365 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 23:33:42,457 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 23:34:46,457 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 23:36:15,884 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: hyderabad
2017-11-05 23:36:28,012 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: pune
2017-11-05 23:36:28,079 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 23:38:14,151 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 23:38:30,303 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 23:47:29,171 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 23:52:24,401 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 23:52:40,315 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 23:54:04,128 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 23:54:17,914 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: mangalore
2017-11-05 23:54:34,859 INFO [com.cg.dao.AirlineDAOImpl] - Abbreviation was retrieved for the following City Name: pune
2017-11-05 23:54:34,916 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:04:31,161 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-06 00:04:48,457 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:24:05,776 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-06 00:24:35,454 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:24:35,494 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: SG-415
2017-11-06 00:24:35,525 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:26:44,027 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-06 00:26:51,237 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:26:51,274 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: SG-415
2017-11-06 00:26:51,340 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:28:26,436 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-06 00:28:33,785 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:28:33,835 INFO [com.cg.dao.AirlineDAOImpl] - List Passsengers of following was retrieved: SG-415
2017-11-06 00:28:33,937 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:31:47,382 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:31:47,429 INFO [com.cg.dao.AirlineDAOImpl] - Booking information retrieved
2017-11-06 00:31:47,473 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-06 00:33:10,659 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
